fotograma;tipo_objeto;confianza;identificador_tracking;x1;y1;x2;y2;matricula_detectada;confianza_matricula;mx1;my1;mx2;my2;texto_matricula
1;car;0.84;1;1321;312;1398;371;0;0;;;;;
1;car;0.49;2;1231;313;1279;343;0;0;;;;;
2;car;0.81;1;1321;312;1397;371;0;0;;;;;
2;car;0.48;2;1231;313;1279;342;0;0;;;;;
3;car;0.82;1;1320;312;1395;371;0;0;;;;;
3;car;0.44;2;1230;313;1278;342;0;0;;;;;
4;car;0.84;1;1318;312;1395;371;0;0;;;;;
4;car;0.49;2;1230;314;1278;342;0;0;;;;;
5;car;0.82;1;1317;312;1394;371;0;0;;;;;
5;car;0.45;2;1232;314;1279;343;0;0;;;;;
6;car;0.81;1;1316;312;1392;370;0;0;;;;;
6;car;0.41;2;1232;313;1278;342;0;0;;;;;
7;car;0.8;1;1316;312;1390;370;0;0;;;;;
7;car;0.45;2;1232;314;1277;343;0;0;;;;;
8;car;0.79;1;1314;312;1389;369;0;0;;;;;
8;car;0.44;2;1230;314;1275;343;0;0;;;;;
9;car;0.78;1;1313;312;1387;368;0;0;;;;;
9;car;0.42;2;1229;315;1274;343;0;0;;;;;
10;car;0.8;1;1311;312;1386;368;0;0;;;;;
10;car;0.42;2;1229;315;1272;343;0;0;;;;;
11;car;0.8;1;1310;312;1385;367;0;0;;;;;
11;car;0.4;2;1228;315;1270;343;0;0;;;;;
12;car;0.78;1;1309;312;1384;368;0;0;;;;;
12;car;0.41;2;1228;315;1269;343;0;0;;;;;
13;car;0.79;1;1309;312;1382;368;0;0;;;;;
14;car;0.79;1;1309;312;1380;368;0;0;;;;;
15;car;0.78;1;1309;312;1378;368;0;0;;;;;
16;car;0.77;1;1308;312;1375;367;0;0;;;;;
17;car;0.78;1;1308;313;1374;367;0;0;;;;;
18;car;0.78;1;1308;313;1373;366;0;0;;;;;
19;car;0.77;1;1308;313;1372;367;0;0;;;;;
20;car;0.78;1;1308;314;1370;367;0;0;;;;;
21;car;0.75;1;1308;313;1369;368;0;0;;;;;
22;car;0.73;1;1308;313;1368;368;0;0;;;;;
22;car;0.36;2;1226;316;1262;341;0;0;;;;;
23;car;0.74;1;1308;313;1366;367;0;0;;;;;
23;car;0.39;2;1225;316;1261;341;0;0;;;;;
24;car;0.72;1;1308;313;1366;366;0;0;;;;;
24;car;0.41;2;1225;318;1261;341;0;0;;;;;
25;car;0.7;1;1308;312;1366;366;0;0;;;;;
25;car;0.46;2;1225;318;1261;342;0;0;;;;;
26;car;0.71;1;1308;312;1365;366;0;0;;;;;
26;car;0.44;2;1225;318;1261;342;0;0;;;;;
27;car;0.69;1;1308;311;1365;366;0;0;;;;;
27;car;0.45;2;1224;318;1261;342;0;0;;;;;
28;car;0.67;1;1308;310;1364;366;0;0;;;;;
28;car;0.43;2;1224;318;1261;342;0;0;;;;;
29;car;0.65;1;1307;309;1364;365;0;0;;;;;
29;car;0.43;2;1224;317;1261;342;0;0;;;;;
30;car;0.63;1;1307;308;1362;365;0;0;;;;;
30;car;0.4;2;1224;317;1261;342;0;0;;;;;
31;car;0.62;1;1306;307;1359;364;0;0;;;;;
31;car;0.35;2;1225;317;1260;342;0;0;;;;;
32;car;0.64;1;1305;308;1357;363;0;0;;;;;
33;car;0.64;1;1304;308;1356;363;0;0;;;;;
34;car;0.63;1;1303;308;1355;363;0;0;;;;;
35;car;0.62;1;1302;308;1354;363;0;0;;;;;
36;car;0.6;1;1302;309;1352;362;0;0;;;;;
37;car;0.6;1;1302;310;1351;362;0;0;;;;;
38;car;0.54;1;1302;311;1350;362;0;0;;;;;
39;car;0.49;1;1302;313;1348;362;0;0;;;;;
40;car;0.48;1;1302;314;1347;361;0;0;;;;;
41;car;0.45;1;1302;314;1347;362;0;0;;;;;
42;car;0.51;1;1303;315;1345;360;0;0;;;;;
43;car;0.46;1;1302;316;1344;360;0;0;;;;;
44;car;0.53;1;1302;316;1342;361;0;0;;;;;
45;car;0.42;1;1300;316;1341;361;0;0;;;;;
46;car;0.38;1;1300;315;1340;361;0;0;;;;;
47;car;0.38;1;1300;313;1340;359;0;0;;;;;
63;car;0.38;1;1289;322;1329;359;0;0;;;;;
64;car;0.41;1;1289;321;1328;358;0;0;;;;;
65;car;0.43;1;1288;319;1327;358;0;0;;;;;
66;car;0.44;1;1288;319;1326;359;0;0;;;;;
67;car;0.48;1;1287;318;1326;360;0;0;;;;;
68;car;0.46;1;1287;319;1325;359;0;0;;;;;
69;car;0.47;1;1287;320;1325;359;0;0;;;;;
70;car;0.51;1;1286;320;1326;360;0;0;;;;;
71;car;0.44;1;1286;319;1326;358;0;0;;;;;
72;car;0.52;1;1286;319;1324;358;0;0;;;;;
73;car;0.6;1;1286;318;1323;358;0;0;;;;;
74;car;0.59;1;1286;320;1323;357;0;0;;;;;
75;car;0.59;1;1285;321;1322;356;0;0;;;;;
76;car;0.53;1;1285;321;1321;355;0;0;;;;;
77;car;0.51;1;1285;317;1320;355;0;0;;;;;
78;car;0.55;1;1285;316;1318;356;0;0;;;;;
79;car;0.51;1;1285;313;1318;356;0;0;;;;;
80;car;0.43;1;1284;311;1318;355;0;0;;;;;
81;car;0.4;1;1284;311;1318;356;0;0;;;;;
82;car;0.37;1;1284;312;1317;356;0;0;;;;;
83;car;0.36;1;1284;313;1316;356;0;0;;;;;
84;car;0.38;1;1283;313;1315;355;0;0;;;;;
89;car;0.37;-1;1462;319;1515;379;0;0;;;;;
91;car;0.45;-1;1457;317;1516;381;0;0;;;;;
92;car;0.45;5;1460;317;1515;379;0;0;;;;;
93;car;0.56;5;1456;319;1515;379;0;0;;;;;
94;car;0.52;5;1454;320;1514;379;0;0;;;;;
95;car;0.59;5;1453;320;1514;379;0;0;;;;;
95;person;0.61;6;0;249;41;478;0;0;;;;;
96;car;0.61;5;1451;320;1513;380;0;0;;;;;
96;person;0.76;6;0;237;53;486;0;0;;;;;
97;car;0.73;5;1449;319;1513;381;0;0;;;;;
97;person;0.79;6;0;234;60;488;0;0;;;;;
98;car;0.71;5;1449;320;1514;381;0;0;;;;;
98;person;0.83;6;0;231;68;490;0;0;;;;;
99;car;0.72;5;1446;320;1514;381;0;0;;;;;
99;person;0.82;6;0;232;73;491;0;0;;;;;
100;car;0.71;5;1443;320;1514;381;0;0;;;;;
100;person;0.82;6;0;235;77;492;0;0;;;;;
101;car;0.67;5;1438;320;1516;381;0;0;;;;;
101;person;0.83;6;0;234;78;494;0;0;;;;;
102;car;0.7;5;1436;320;1516;381;0;0;;;;;
102;person;0.86;6;0;233;79;497;0;0;;;;;
103;car;0.7;5;1434;320;1517;382;0;0;;;;;
103;person;0.85;6;0;231;83;495;0;0;;;;;
104;car;0.72;5;1435;320;1518;382;0;0;;;;;
104;person;0.88;6;0;230;90;495;0;0;;;;;
105;car;0.73;5;1435;320;1518;382;0;0;;;;;
105;person;0.83;6;2;232;97;492;0;0;;;;;
106;car;0.73;5;1435;320;1519;382;0;0;;;;;
106;person;0.86;6;9;230;105;492;0;0;;;;;
107;car;0.74;5;1434;320;1519;382;0;0;;;;;
107;person;0.88;6;19;228;114;492;0;0;;;;;
108;car;0.73;5;1433;320;1519;382;0;0;;;;;
108;person;0.88;6;26;228;131;492;0;0;;;;;
108;car;0.41;1;1263;312;1298;347;0;0;;;;;
109;car;0.73;5;1433;320;1519;381;0;0;;;;;
109;person;0.85;6;30;229;147;491;0;0;;;;;
109;car;0.43;1;1262;313;1298;348;0;0;;;;;
110;car;0.74;5;1431;320;1518;381;0;0;;;;;
110;person;0.86;6;34;230;157;490;0;0;;;;;
110;car;0.46;1;1262;312;1298;348;0;0;;;;;
111;car;0.76;5;1431;321;1518;381;0;0;;;;;
111;person;0.87;6;38;232;164;488;0;0;;;;;
111;car;0.53;1;1262;312;1298;347;0;0;;;;;
112;car;0.76;5;1430;321;1518;381;0;0;;;;;
112;person;0.86;6;40;234;165;487;0;0;;;;;
112;car;0.51;1;1262;312;1298;348;0;0;;;;;
113;car;0.77;5;1428;321;1517;381;0;0;;;;;
113;person;0.85;6;40;239;169;487;0;0;;;;;
113;car;0.51;1;1262;312;1297;348;0;0;;;;;
114;car;0.78;5;1428;321;1517;382;0;0;;;;;
