filename,text,confidence
Cars101.png,HR,92.0
Cars101.png,26,85.0
Cars105.png,|,71.0
Cars105.png,JPR,76.0
Cars101.png,HR,73.0
Cars101.png,26,70.0
Cars101.png,BC,88.0
Cars105.png,|,71.0
Cars105.png,|,88.0
Cars107.png,Ba,68.0
Cars107.png,20,68.0
Cars109.png,KOD,90.0
Cars11.png,WOR,72.0
Cars11.png,SIGK,86.0
Cars11.png,|,95.0
Cars111.png,MH,93.0
Cars111.png,20,89.0
Cars111.png,EE,89.0
Cars111.png,7598,92.0
Cars115.png,YOB,86.0
Cars116.png,MK-35-32,87.0
Cars120.png,B,86.0
Cars123.png,26,92.0
Cars130.png,26,74.0
Cars130.png,BR,81.0
Cars14.png,ALR,96.0
Cars14.png,486,95.0
Cars144.png,PENIS:,65.0
Cars150.png,8CX,81.0
Cars150.png,48.,78.0
Cars150.png,50,93.0
Cars152.png,Diag,60.0
Cars152.png,|,94.0
Cars156.png,PRIV,76.0
Cars156.png,ATE,96.0
Cars158.png,695299,66.0
Cars158.png,|,96.0
Cars16.png,|,61.0
Cars160.png,|,80.0
Cars161.png,IMS66,70.0
Cars163.png,TEE,96.0
Cars167.png,Al,70.0
Cars167.png,15-LK-10898,77.0
Cars169.png,priv,77.0
Cars169.png,ATE,91.0
Cars177.png,GOOD,95.0
Cars183.png,BRIT,96.0
Cars183.png,0001,95.0
Cars187.png,ALR,92.0
Cars187.png,486,81.0
Cars190.png,),83.0
Cars192.png,GLE,95.0
Cars194.png,am,60.0
Cars195.png,|,83.0
Cars197.png,TEE,96.0
Cars198.png,],63.0
Cars201.png,L&33,86.0
Cars201.png,TEE,96.0
Cars203.png,m,62.0
Cars203.png,KOD,91.0
Cars206.png,BU,78.0
Cars212.png,65,80.0
Cars212.png,H,80.0
Cars212.png,4383,94.0
Cars215.png,"""CH",65.0
Cars219.png,-,81.0
Cars219.png,2784,96.0
Cars230.png,L&33,86.0
Cars230.png,TEE,96.0
Cars231.png,TCE,80.0
Cars231.png,|,78.0
Cars234.png,IM4U,74.0
Cars234.png,555,94.0
Cars239.png,15-LK-10898,87.0
Cars24.png,HR,80.0
Cars24.png,26,62.0
Cars24.png,BC,85.0
Cars240.png,AF,63.0
Cars243.png,2784,92.0
Cars245.png,28,64.0
Cars245.png,BR,86.0
Cars248.png,12061433),62.0
Cars251.png,FKL],68.0
Cars252.png,DAN,90.0
Cars252.png,54P,90.0
Cars256.png,LB,93.0
Cars259.png,MH,95.0
Cars259.png,20,89.0
Cars259.png,EE,89.0
Cars259.png,7598,94.0
Cars261.png,SOBER,74.0
Cars261.png,1643,84.0
Cars265.png,M,92.0
Cars27.png,DZI7,77.0
Cars27.png,YXR,86.0
Cars273.png,BRIT,96.0
Cars273.png,0001,96.0
Cars276.png,KOD,91.0
Cars280.png,‘ane,65.0
Cars281.png,MH,89.0
Cars281.png,01,89.0
Cars281.png,DB,78.0
Cars281.png,0001,78.0
Cars285.png,BR,85.0
Cars287.png,5617,82.0
Cars297.png,"555,",84.0
Cars299.png,|,72.0
Cars3.png,DZI7,60.0
Cars3.png,YXR,90.0
Cars30.png,|,71.0
Cars30.png,|,88.0
Cars301.png,G526,81.0
Cars301.png,JHD,91.0
Cars301.png,J,71.0
Cars305.png,JU,62.0
Cars307.png,M-90,89.0
Cars307.png,60,83.0
Cars307.png,90-K,76.0
Cars308.png,HR,63.0
Cars308.png,26,81.0
Cars308.png,Bc,62.0
Cars315.png,9,72.0
Cars317.png,26,75.0
Cars317.png,BC,80.0
Cars318.png,ALR,95.0
Cars318.png,486,95.0
Cars323.png,2378,83.0
Cars324.png,LAF,62.0
Cars326.png,4850,96.0
Cars326.png,|,78.0
Cars328.png,IM4U,72.0
Cars33.png,AWD,72.0
Cars332.png,DZI7,60.0
Cars332.png,YXR,91.0
Cars333.png,MH,83.0
Cars333.png,20,76.0
Cars336.png,4850,91.0
Cars34.png,5617,94.0
Cars340.png,FYE,73.0
Cars340.png,|,92.0
Cars343.png,cas|,65.0
Cars344.png,GOOGLE,90.0
Cars349.png,BXU,84.0
Cars349.png,|,84.0
Cars355.png,665,70.0
Cars358.png,FOZ,72.0
Cars358.png,§,86.0
Cars359.png,|,94.0
Cars36.png,MIDLYPH,66.0
Cars365.png,Bz,87.0
Cars365.png,0768,75.0
Cars366.png,:,68.0
Cars366.png,MH,86.0
Cars366.png,eo,63.0
Cars369.png,Al,70.0
Cars369.png,15-LK-10898,77.0
Cars373.png,6225,76.0
Cars376.png,B,93.0
Cars377.png,136],72.0
Cars379.png,9239,91.0
Cars38.png,OMG,69.0
Cars382.png,CRAIC,60.0
Cars382.png,|,93.0
Cars383.png,|,65.0
Cars387.png,AZ_5927|,69.0
Cars394.png,52,68.0
Cars394.png,MR,79.0
Cars394.png,0613,75.0
Cars394.png,|,75.0
Cars401.png,26,85.0
Cars402.png,JU,95.0
Cars405.png,WH,62.0
Cars412.png,‘LR33,78.0
Cars412.png,TEE,95.0
Cars413.png,#5,65.0
Cars413.png,44],70.0
Cars415.png,|,75.0
Cars416.png,mi72,69.0
Cars416.png,TM),64.0
Cars417.png,231,92.0
Cars419.png,9239,91.0
Cars420.png,SKIP,65.0
Cars420.png,GAS,65.0
Cars423.png,P,83.0
Cars424.png,-,67.0
Cars424.png,2784,78.0
Cars425.png,G526,86.0
Cars425.png,JHD,92.0
Cars426.png,|,90.0
Cars426.png,CRAIG,61.0
Cars427.png,CC,70.0
Cars427.png,1A,78.0
